WL,Al,WL,Cr,WL,Cu,WL,Au
378.16853,0.95339,378.16853,0.77426,378.16853,0.85849,378.16853,0.78326
378.25491,0.94603,378.25491,0.7808,378.25491,0.86772,378.25491,0.77187
378.34133,0.93746,378.34133,0.78735,378.34133,0.87685,378.34133,0.7605
378.42779,0.92778,378.42779,0.79391,378.42779,0.88587,378.42779,0.74918
378.51429,0.91709,378.51429,0.80047,378.51429,0.89474,378.51429,0.73792
378.60082,0.90547,378.60082,0.80703,378.60082,0.90343,378.60082,0.72675
378.6874,0.89304,378.6874,0.81357,378.6874,0.91193,378.6874,0.71569
378.77402,0.8799,378.77402,0.82008,378.77402,0.9202,378.77402,0.70476
378.86067,0.86616,378.86067,0.82656,378.86067,0.92821,378.86067,0.69398
378.94737,0.85193,378.94737,0.833,378.94737,0.93594,378.94737,0.68335
379.0341,0.8373,379.0341,0.83938,379.0341,0.94334,379.0341,0.6729
379.12088,0.82238,379.12088,0.84569,379.12088,0.9504,379.12088,0.66263
379.20769,0.80725,379.20769,0.85193,379.20769,0.95708,379.20769,0.65256
379.29455,0.792,379.29455,0.85807,379.29455,0.96335,379.29455,0.64269
379.38144,0.77671,379.38144,0.86411,379.38144,0.96918,379.38144,0.63303
379.46838,0.76145,379.46838,0.87004,379.46838,0.97454,379.46838,0.62359
379.55535,0.74628,379.55535,0.87584,379.55535,0.97941,379.55535,0.61437
379.64237,0.73126,379.64237,0.88149,379.64237,0.98375,379.64237,0.60537
379.72942,0.71643,379.72942,0.88698,379.72942,0.98755,379.72942,0.59661
379.81651,0.70185,379.81651,0.89231,379.81651,0.99078,379.81651,0.58807
379.90365,0.68753,379.90365,0.89745,379.90365,0.99342,379.90365,0.57976
379.99082,0.67353,379.99082,0.90239,379.99082,0.99546,379.99082,0.57168
380.07804,0.65985,380.07804,0.90712,380.07804,0.99687,380.07804,0.56383
380.16529,0.64652,380.16529,0.91162,380.16529,0.99764,380.16529,0.55622
380.25258,0.63355,380.25258,0.91588,380.25258,0.99777,380.25258,0.54883
380.33992,0.62095,380.33992,0.91988,380.33992,0.99725,380.33992,0.54168
380.42729,0.60873,380.42729,0.92361,380.42729,0.99607,380.42729,0.53474
380.51471,0.5969,380.51471,0.92706,380.51471,0.99425,380.51471,0.52804
380.60216,0.58546,380.60216,0.93021,380.60216,0.99177,380.60216,0.52155
380.68966,0.57439,380.68966,0.93305,380.68966,0.98865,380.68966,0.51528
380.77719,0.56371,380.77719,0.93557,380.77719,0.98489,380.77719,0.50923
380.86477,0.55341,380.86477,0.93776,380.86477,0.98052,380.86477,0.5034
380.95238,0.54348,380.95238,0.9396,380.95238,0.97555,380.95238,0.49777
381.04004,0.53391,381.04004,0.9411,381.04004,0.97,381.04004,0.49235
381.12773,0.5247,381.12773,0.94223,381.12773,0.96388,381.12773,0.48713
381.21547,0.51584,381.21547,0.94299,381.21547,0.95723,381.21547,0.48212
381.30325,0.50732,381.30325,0.94338,381.30325,0.95008,381.30325,0.4773
381.39106,0.49913,381.39106,0.94338,381.39106,0.94244,381.39106,0.47268
381.47892,0.49127,381.47892,0.943,381.47892,0.93436,381.47892,0.46825
381.56682,0.48371,381.56682,0.94224,381.56682,0.92586,381.56682,0.46401
381.65476,0.47646,381.65476,0.94108,381.65476,0.91697,381.65476,0.45996
381.74274,0.4695,381.74274,0.93954,381.74274,0.90773,381.74274,0.45609
381.83076,0.46282,381.83076,0.9376,381.83076,0.89817,381.83076,0.4524
381.91882,0.45641,381.91882,0.93528,381.91882,0.88833,381.91882,0.44889
382.00692,0.45028,382.00692,0.93257,382.00692,0.87823,382.00692,0.44556
382.09506,0.44439,382.09506,0.92949,382.09506,0.86792,382.09506,0.4424
382.18324,0.43876,382.18324,0.92603,382.18324,0.85742,382.18324,0.43941
382.27147,0.43336,382.27147,0.92221,382.27147,0.84676,382.27147,0.43659
382.35973,0.4282,382.35973,0.91803,382.35973,0.83598,382.35973,0.43394
382.44804,0.42325,382.44804,0.9135,382.44804,0.82511,382.44804,0.43145
382.53638,0.41853,382.53638,0.90864,382.53638,0.81417,382.53638,0.42913
382.62477,0.41401,382.62477,0.90346,382.62477,0.80319,382.62477,0.42698
382.7132,0.4097,382.7132,0.89797,382.7132,0.79219,382.7132,0.42499
382.80166,0.40558,382.80166,0.89217,382.80166,0.7812,382.80166,0.42316
382.89017,0.40165,382.89017,0.8861,382.89017,0.77025,382.89017,0.42149
382.97872,0.39791,382.97872,0.87975,382.97872,0.75934,382.97872,0.41999
383.06731,0.39434,383.06731,0.87316,383.06731,0.74851,383.06731,0.41864
383.15595,0.39095,383.15595,0.86633,383.15595,0.73777,383.15595,0.41746
383.24462,0.38773,383.24462,0.85927,383.24462,0.72713,383.24462,0.41643
383.33333,0.38467,383.33333,0.85202,383.33333,0.71662,383.33333,0.41557
383.42209,0.38178,383.42209,0.84458,383.42209,0.70624,383.42209,0.41487
383.51088,0.37904,383.51088,0.83697,383.51088,0.696,383.51088,0.41434
