Wavelength (nm),0 deg,14 deg,28 deg,42 deg,56 deg,70 deg,84 deg
385.11628,0.55949,0.57365,0.50805,0.41874,0.35033,0.30457,0.27869
385.20586,0.55274,0.57178,0.50893,0.41998,0.3513,0.30503,0.27905
385.29549,0.54619,0.56984,0.50989,0.42134,0.35237,0.30555,0.27942
385.38515,0.53985,0.56779,0.51089,0.42281,0.35353,0.30612,0.27982
385.47486,0.53372,0.5656,0.51192,0.42438,0.35478,0.30676,0.28023
385.56461,0.52779,0.56325,0.51293,0.42604,0.35613,0.30745,0.28067
385.6544,0.52206,0.56071,0.51391,0.42778,0.35757,0.30821,0.28112
385.74423,0.51653,0.55795,0.51482,0.4296,0.3591,0.30904,0.28159
385.83411,0.5112,0.55496,0.51562,0.43146,0.36072,0.30994,0.28208
385.92403,0.50607,0.55173,0.51626,0.43336,0.36241,0.3109,0.28259
386.01399,0.50114,0.54824,0.51671,0.43526,0.36418,0.31194,0.28313
386.10399,0.4964,0.54449,0.51693,0.43713,0.366,0.31305,0.28367
386.19403,0.49185,0.54048,0.51686,0.43895,0.36786,0.31423,0.28424
386.28411,0.48749,0.53622,0.51648,0.44067,0.36975,0.31548,0.28483
386.37424,0.48332,0.53172,0.51573,0.44225,0.37163,0.3168,0.28543
386.46441,0.47933,0.52701,0.51458,0.44364,0.37348,0.31817,0.28604
386.55462,0.47554,0.5221,0.513,0.44478,0.37526,0.3196,0.28667
386.64488,0.47192,0.51704,0.51098,0.44564,0.37693,0.32106,0.28731
386.73517,0.46849,0.51185,0.50851,0.44615,0.37845,0.32254,0.28796
386.82551,0.46524,0.50657,0.50557,0.44627,0.37976,0.32403,0.2886
386.91589,0.46217,0.50124,0.50219,0.44595,0.38081,0.32548,0.28925
387.00631,0.45928,0.4959,0.49839,0.44515,0.38155,0.32688,0.28989
387.09677,0.45657,0.49058,0.49419,0.44386,0.38192,0.32819,0.29052
387.18728,0.45405,0.48533,0.48965,0.44206,0.3819,0.32936,0.29113
387.27783,0.4517,0.48018,0.48481,0.43975,0.38144,0.33035,0.29172
387.36842,0.44953,0.47516,0.47974,0.43695,0.38052,0.33112,0.29227
387.45905,0.44754,0.47031,0.47449,0.4337,0.37914,0.33163,0.29278
387.54973,0.44573,0.46564,0.46914,0.43006,0.37732,0.33184,0.29324
387.64045,0.4441,0.46118,0.46374,0.42608,0.37508,0.33173,0.29364
387.73121,0.44265,0.45695,0.45836,0.42184,0.37247,0.33127,0.29397
387.82201,0.44139,0.45297,0.45306,0.41742,0.36957,0.33048,0.29422
387.91286,0.44031,0.44925,0.44788,0.41289,0.36642,0.32936,0.2944
