Wavelength (nm),0 Deg,14 Deg,28 Deg,42 Deg,56 Deg,70 Deg,84 Deg
382.7132,0.81271,0.96581,0.95317,0.98275,0.86054,0.99252,0.92606
382.80166,0.80181,0.97134,0.95751,0.98363,0.84965,0.99324,0.93384
382.89017,0.7909,0.97638,0.9616,0.98418,0.83847,0.99353,0.94131
382.97872,0.78001,0.9809,0.96542,0.98439,0.82703,0.9934,0.94846
383.06731,0.76915,0.98487,0.96894,0.98426,0.81536,0.99282,0.95524
383.15595,0.75835,0.98828,0.97216,0.98377,0.80349,0.99179,0.96163
383.24462,0.74762,0.99112,0.97504,0.98292,0.79145,0.9903,0.9676
383.33333,0.73698,0.99336,0.97758,0.9817,0.77926,0.98836,0.97312
383.42209,0.72646,0.99501,0.97976,0.98011,0.76695,0.98597,0.97816
383.51088,0.71606,0.99604,0.98156,0.97814,0.75456,0.98312,0.9827
383.59972,0.70579,0.99646,0.98298,0.9758,0.74212,0.97982,0.98671
383.6886,0.69568,0.99626,0.984,0.97309,0.72964,0.97608,0.99016
383.77752,0.68572,0.99544,0.98461,0.97001,0.71718,0.97191,0.99305
383.86648,0.67593,0.99401,0.98482,0.96656,0.70475,0.96732,0.99534
383.95548,0.66632,0.99196,0.9846,0.96276,0.69238,0.96231,0.99704
384.04453,0.65689,0.98932,0.98396,0.95861,0.68011,0.95692,0.99812
384.13361,0.64765,0.98609,0.98289,0.95411,0.66798,0.95114,0.99857
384.22274,0.6386,0.98228,0.9814,0.94928,0.65601,0.945,0.9984
384.31191,0.62976,0.97792,0.97949,0.94413,0.64425,0.93852,0.9976
384.40111,0.62112,0.97302,0.97715,0.93867,0.63273,0.93171,0.99617
384.49036,0.61268,0.9676,0.97439,0.93291,0.6215,0.92459,0.99411
384.57966,0.60445,0.96168,0.97123,0.92687,0.6106,0.91719,0.99143
384.66899,0.59643,0.9553,0.96766,0.92055,0.60008,0.90952,0.98815
384.75836,0.58862,0.94847,0.96369,0.91398,0.58999,0.9016,0.98427
384.84778,0.58102,0.94122,0.95934,0.90717,0.58041,0.89346,0.97981
384.93724,0.57363,0.93359,0.95462,0.90013,0.5714,0.88511,0.9748
385.02674,0.56646,0.92559,0.94954,0.89287,0.56303,0.87657,0.96924
385.11628,0.55949,0.91726,0.94411,0.88543,0.55541,0.86788,0.96316
385.20586,0.55274,0.90864,0.93835,0.8778,0.54862,0.85903,0.95659
385.29549,0.54619,0.89974,0.93227,0.87001,0.54279,0.85006,0.94956
385.38515,0.53985,0.8906,0.92589,0.86207,0.53804,0.84098,0.94209
385.47486,0.53372,0.88124,0.91923,0.854,0.53453,0.83182,0.9342
385.56461,0.52779,0.8717,0.9123,0.8458,0.53243,0.82258,0.92594
385.6544,0.52206,0.86199,0.90512,0.83751,0.53192,0.81328,0.91732
385.74423,0.51653,0.85216,0.89771,0.82912,0.53322,0.80395,0.90838
385.83411,0.5112,0.84222,0.89009,0.82066,0.53656,0.79459,0.89915
385.92403,0.50607,0.8322,0.88227,0.81213,0.54219,0.78523,0.88966
386.01399,0.50114,0.82212,0.87428,0.80356,0.55037,0.77586,0.87993
386.10399,0.4964,0.812,0.86612,0.79495,0.56138,0.76652,0.87001
386.19403,0.49185,0.80187,0.85782,0.78632,0.57547,0.7572,0.8599
386.28411,0.48749,0.79174,0.8494,0.77767,0.59286,0.74792,0.84965
386.37424,0.48332,0.78163,0.84086,0.76902,0.61372,0.73869,0.83928
386.46441,0.47933,0.77157,0.83224,0.76038,0.63811,0.72953,0.82881
386.55462,0.47554,0.76156,0.82354,0.75175,0.66594,0.72043,0.81827
386.64488,0.47192,0.75162,0.81477,0.74316,0.69697,0.71141,0.80768
386.73517,0.46849,0.74177,0.80596,0.7346,0.73068,0.70247,0.79707
386.82551,0.46524,0.73202,0.79711,0.72608,0.76636,0.69362,0.78644
386.91589,0.46217,0.72237,0.78825,0.71761,0.803,0.68487,0.77583
387.00631,0.45928,0.71284,0.77938,0.70921,0.83943,0.67622,0.76525
387.09677,0.45657,0.70344,0.77051,0.70087,0.87431,0.66768,0.75471
387.18728,0.45405,0.69418,0.76166,0.6926,0.90632,0.65925,0.74424
387.27783,0.4517,0.68506,0.75283,0.6844,0.93426,0.65094,0.73384
387.36842,0.44953,0.67609,0.74405,0.67629,0.95714,0.64274,0.72353
387.45905,0.44754,0.66728,0.7353,0.66826,0.97435,0.63467,0.71331
387.54973,0.44573,0.65863,0.72662,0.66033,0.9856,0.62672,0.70321
387.64045,0.4441,0.65014,0.71799,0.65248,0.99098,0.61889,0.69323
387.73121,0.44265,0.64182,0.70944,0.64474,0.99087,0.6112,0.68337
387.82201,0.44139,0.63367,0.70096,0.63709,0.98587,0.60363,0.67365
387.91286,0.44031,0.6257,0.69257,0.62955,0.97669,0.59619,0.66407
388.00375,0.43941,0.6179,0.68427,0.62211,0.9641,0.58887,0.65463
388.09468,0.43871,0.61028,0.67606,0.61478,0.94883,0.58169,0.64535
388.18565,0.4382,0.60283,0.66795,0.60755,0.93157,0.57464,0.63622
388.27667,0.43788,0.59557,0.65994,0.60044,0.91291,0.56772,0.62725
388.36773,0.43776,0.58848,0.65203,0.59343,0.89337,0.56093,0.61844
388.45883,0.43784,0.58158,0.64424,0.58654,0.87336,0.55427,0.6098
388.54998,0.43813,0.57485,0.63656,0.57976,0.8532,0.54773,0.60132
388.64116,0.43863,0.5683,0.62899,0.57309,0.83315,0.54133,0.593
388.73239,0.43933,0.56193,0.62154,0.56653,0.8134,0.53504,0.58485
388.82367,0.44026,0.55573,0.61421,0.56008,0.79409,0.52889,0.57687
388.91498,0.44142,0.54971,0.607,0.55375,0.77533,0.52285,0.56906
389.00634,0.4428,0.54387,0.59991,0.54753,0.75716,0.51694,0.56141
