Wavelength (nm),0.5 nm,1 nm,2 nm,3 nm,4 nm,5 nm ,10 nm
382.35973,0.90215,0.98734,0.97561,0.89027,0.73825,0.60895,0.74886
382.44804,0.8924,0.98369,0.97982,0.89855,0.74616,0.61318,0.74594
382.53638,0.88239,0.97941,0.98349,0.90664,0.75415,0.61751,0.74305
382.62477,0.87214,0.97454,0.9866,0.9145,0.76224,0.62196,0.74017
382.7132,0.8617,0.96908,0.98913,0.92212,0.77041,0.62651,0.73732
382.80166,0.85109,0.96306,0.99106,0.92947,0.77865,0.63117,0.7345
382.89017,0.84034,0.95651,0.99239,0.93652,0.78695,0.63595,0.73171
382.97872,0.82948,0.94945,0.99309,0.94324,0.7953,0.64083,0.72895
383.06731,0.81855,0.94191,0.99317,0.9496,0.80368,0.64583,0.72621
383.15595,0.80757,0.93393,0.99262,0.95557,0.8121,0.65094,0.72352
383.24462,0.79657,0.92553,0.99143,0.96114,0.82052,0.65617,0.72085
383.33333,0.78557,0.91675,0.98961,0.96626,0.82894,0.66151,0.71823
383.42209,0.7746,0.90763,0.98716,0.97092,0.83733,0.66696,0.71564
383.51088,0.76367,0.89819,0.9841,0.9751,0.84569,0.67253,0.71309
383.59972,0.75281,0.88847,0.98043,0.97877,0.854,0.67821,0.71058
383.6886,0.74204,0.87851,0.97617,0.98191,0.86223,0.68401,0.70812
383.77752,0.73136,0.86833,0.97133,0.98451,0.87036,0.68991,0.70569
383.86648,0.72081,0.85797,0.96594,0.98654,0.87838,0.69593,0.70331
383.95548,0.71039,0.84747,0.96002,0.98801,0.88626,0.70205,0.70098
384.04453,0.70011,0.83685,0.95359,0.98888,0.89397,0.70828,0.69869
384.13361,0.68999,0.82614,0.94668,0.98917,0.90151,0.71462,0.69645
384.22274,0.68003,0.81538,0.93933,0.98886,0.90884,0.72106,0.69425
384.31191,0.67025,0.80458,0.93155,0.98795,0.91593,0.72759,0.69211
384.40111,0.66065,0.79377,0.92338,0.98644,0.92277,0.73422,0.69001
384.49036,0.65125,0.78298,0.91486,0.98435,0.92933,0.74094,0.68797
384.57966,0.64203,0.77223,0.90601,0.98166,0.93559,0.74775,0.68597
384.66899,0.63302,0.76153,0.89686,0.97841,0.94152,0.75464,0.68403
384.75836,0.62422,0.75092,0.88746,0.9746,0.94709,0.7616,0.68214
384.84778,0.61562,0.7404,0.87783,0.97024,0.95229,0.76863,0.68031
384.93724,0.60723,0.73,0.868,0.96536,0.95709,0.77573,0.67853
385.02674,0.59905,0.71972,0.858,0.95997,0.96148,0.78288,0.6768
385.11628,0.59109,0.70958,0.84787,0.9541,0.96542,0.79008,0.67513
385.20586,0.58334,0.69959,0.83763,0.94777,0.96891,0.79732,0.67352
385.29549,0.57581,0.68977,0.82732,0.94102,0.97192,0.80458,0.67196
385.38515,0.56849,0.68012,0.81695,0.93385,0.97445,0.81187,0.67046
385.47486,0.56139,0.67065,0.80656,0.92632,0.97648,0.81916,0.66901
385.56461,0.5545,0.66137,0.79617,0.91844,0.97799,0.82645,0.66763
385.6544,0.54782,0.65228,0.7858,0.91024,0.97899,0.83373,0.6663
385.74423,0.54135,0.64339,0.77547,0.90176,0.97946,0.84098,0.66503
385.83411,0.5351,0.63471,0.7652,0.89303,0.9794,0.84819,0.66382
385.92403,0.52905,0.62623,0.75502,0.88407,0.97881,0.85534,0.66267
386.01399,0.52322,0.61796,0.74493,0.87492,0.97769,0.86243,0.66159
386.10399,0.51758,0.60991,0.73495,0.8656,0.97605,0.86943,0.66056
