Inputs,,,Output,,,,,
Wavelength (um),r1 (um),t1 (nm),Absorption,,,,,
398.07692,0.05,0.2,0.1693,,,,,
398.17264,0.05,0.2,0.16972,,,,,
398.2684,0.05,0.2,0.17015,,,,,
398.3642,0.05,0.2,0.1706,,,,,
398.46006,0.05,0.2,0.17105,,,,,
398.55596,0.05,0.2,0.17152,,,,,
398.6519,0.05,0.2,0.172,,,,,
398.74789,0.05,0.2,0.1725,,,,,
398.84393,0.05,0.2,0.17301,,,,,
398.94001,0.05,0.2,0.17353,,,,,
399.03614,0.05,0.2,0.17407,,,,,
399.13232,0.05,0.2,0.17463,,,,,
399.22854,0.05,0.2,0.1752,,,,,
399.32481,0.05,0.2,0.17579,,,,,
399.42113,0.05,0.2,0.1764,,,,,
399.51749,0.05,0.2,0.17703,,,,,
399.6139,0.05,0.2,0.17768,,,,,
399.71035,0.05,0.2,0.17835,,,,,
399.80686,0.05,0.2,0.17904,,,,,
399.9034,0.05,0.2,0.17976,,,,,
400,0.05,0.2,0.1805,,,,,
400.09664,0.05,0.2,0.18126,,,,,
400.19333,0.05,0.2,0.18205,,,,,
400.29007,0.05,0.2,0.18286,,,,,
400.38685,0.05,0.2,0.18371,,,,,
400.48368,0.05,0.2,0.18458,,,,,
400.58055,0.05,0.2,0.18549,,,,,
400.67747,0.05,0.2,0.18643,,,,,
400.77444,0.05,0.2,0.1874,,,,,
400.87146,0.05,0.2,0.18841,,,,,
400.96852,0.05,0.2,0.18946,,,,,
401.06563,0.05,0.2,0.19054,,,,,
401.16279,0.05,0.2,0.19167,,,,,
401.26,0.05,0.2,0.19284,,,,,
401.35725,0.05,0.2,0.19406,,,,,
401.45455,0.05,0.2,0.19533,,,,,
401.55189,0.05,0.2,0.19664,,,,,
401.64928,0.05,0.2,0.19801,,,,,
401.74672,0.05,0.2,0.19944,,,,,
401.84421,0.05,0.2,0.20093,,,,,
401.94175,0.05,0.2,0.20247,,,,,
402.03933,0.05,0.2,0.20409,,,,,
402.13696,0.05,0.2,0.20577,,,,,
402.23464,0.05,0.2,0.20753,,,,,
402.33236,0.05,0.2,0.20937,,,,,
402.43013,0.05,0.2,0.21128,,,,,
402.52795,0.05,0.2,0.21329,,,,,
402.62582,0.05,0.2,0.21539,,,,,
402.72374,0.05,0.2,0.21758,,,,,
402.8217,0.05,0.2,0.21988,,,,,
402.91971,0.05,0.2,0.22228,,,,,
403.01777,0.05,0.2,0.22481,,,,,
403.11587,0.05,0.2,0.22745,,,,,
403.21402,0.05,0.2,0.23023,,,,,
403.31223,0.05,0.2,0.23314,,,,,
403.41048,0.05,0.2,0.23621,,,,,
403.50877,0.05,0.2,0.23943,,,,,
403.60712,0.05,0.2,0.24281,,,,,
403.70551,0.05,0.2,0.24638,,,,,
403.80395,0.05,0.2,0.25013,,,,,
403.90244,0.05,0.2,0.25408,,,,,
404.00098,0.05,0.2,0.25825,,,,,
404.09956,0.05,0.2,0.26265,,,,,
404.19819,0.05,0.2,0.26729,,,,,
404.29688,0.05,0.2,0.2722,,,,,
404.3956,0.05,0.2,0.27738,,,,,
404.49438,0.05,0.2,0.28286,,,,,
404.59321,0.05,0.2,0.28866,,,,,
404.69208,0.05,0.2,0.2948,,,,,
404.791,0.05,0.2,0.30131,,,,,
404.88998,0.05,0.2,0.3082,,,,,
404.98899,0.05,0.2,0.31551,,,,,
405.08806,0.05,0.2,0.32326,,,,,
405.18718,0.05,0.2,0.33149,,,,,
405.28634,0.05,0.2,0.34023,,,,,
405.38556,0.05,0.2,0.34951,,,,,
405.48482,0.05,0.2,0.35937,,,,,
405.58413,0.05,0.2,0.36985,,,,,
405.68349,0.05,0.2,0.38098,,,,,
405.7829,0.05,0.2,0.39281,,,,,
405.88235,0.05,0.2,0.40538,,,,,
405.98186,0.05,0.2,0.41874,,,,,
406.08141,0.05,0.2,0.43293,,,,,
406.18102,0.05,0.2,0.44798,,,,,
406.28067,0.05,0.2,0.46395,,,,,
406.38037,0.05,0.2,0.48088,,,,,
406.48012,0.05,0.2,0.49878,,,,,
406.57992,0.05,0.2,0.5177,,,,,
406.67976,0.05,0.2,0.53766,,,,,
406.77966,0.05,0.2,0.55865,,,,,
406.87961,0.05,0.2,0.58068,,,,,
406.9796,0.05,0.2,0.60371,,,,,
407.07965,0.05,0.2,0.6277,,,,,
407.17974,0.05,0.2,0.65258,,,,,
407.27988,0.05,0.2,0.67823,,,,,
407.38007,0.05,0.2,0.70451,,,,,
407.48031,0.05,0.2,0.73125,,,,,
407.58061,0.05,0.2,0.75821,,,,,
407.68095,0.05,0.2,0.78513,,,,,
407.78133,0.05,0.2,0.8117,,,,,
407.88177,0.05,0.2,0.83756,,,,,
407.98226,0.05,0.2,0.86234,,,,,
408.0828,0.05,0.2,0.88563,,,,,
408.18339,0.05,0.2,0.90701,,,,,
408.28402,0.05,0.2,0.92609,,,,,
408.38471,0.05,0.2,0.94249,,,,,
408.48545,0.05,0.2,0.95588,,,,,
408.58623,0.05,0.2,0.96599,,,,,
408.68707,0.05,0.2,0.97264,,,,,
408.78795,0.05,0.2,0.97573,,,,,
408.88889,0.05,0.2,0.97526,,,,,
408.98987,0.05,0.2,0.97133,,,,,
409.09091,0.05,0.2,0.9641,,,,,
409.19199,0.05,0.2,0.95383,,,,,
409.29313,0.05,0.2,0.94083,,,,,
409.39431,0.05,0.2,0.92544,,,,,
409.49555,0.05,0.2,0.90803,,,,,
409.59683,0.05,0.2,0.88897,,,,,
409.69817,0.05,0.2,0.86862,,,,,
409.79955,0.05,0.2,0.84733,,,,,
409.90099,0.05,0.2,0.82542,,,,,
410.00248,0.05,0.2,0.80315,,,,,
410.10401,0.05,0.2,0.7808,,,,,
410.2056,0.05,0.2,0.75855,,,,,
410.30723,0.05,0.2,0.73658,,,,,
410.40892,0.05,0.2,0.71504,,,,,
410.51066,0.05,0.2,0.69403,,,,,
410.61245,0.05,0.2,0.67365,,,,,
410.71429,0.05,0.2,0.65395,,,,,
410.81617,0.05,0.2,0.63497,,,,,
410.91811,0.05,0.2,0.61674,,,,,
411.0201,0.05,0.2,0.59927,,,,,
411.12214,0.05,0.2,0.58257,,,,,
411.22424,0.05,0.2,0.56662,,,,,
411.32638,0.05,0.2,0.55142,,,,,
411.42857,0.05,0.2,0.53693,,,,,
411.53082,0.05,0.2,0.52315,,,,,
411.63311,0.05,0.2,0.51004,,,,,
411.73545,0.05,0.2,0.49758,,,,,
411.83785,0.05,0.2,0.48573,,,,,
411.9403,0.05,0.2,0.47448,,,,,
412.0428,0.05,0.2,0.46379,,,,,
412.14535,0.05,0.2,0.45363,,,,,
412.24795,0.05,0.2,0.44399,,,,,
412.3506,0.05,0.2,0.43482,,,,,
412.4533,0.05,0.2,0.4261,,,,,
412.55605,0.05,0.2,0.41782,,,,,
412.65886,0.05,0.2,0.40994,,,,,
412.76171,0.05,0.2,0.40245,,,,,
412.86462,0.05,0.2,0.39531,,,,,
412.96758,0.05,0.2,0.38852,,,,,
413.07059,0.05,0.2,0.38206,,,,,
413.17365,0.05,0.2,0.3759,,,,,
413.27677,0.05,0.2,0.37003,,,,,
413.37993,0.05,0.2,0.36443,,,,,
413.48315,0.05,0.2,0.35909,,,,,
413.58641,0.05,0.2,0.35399,,,,,
